Recency,Frequency,Monetary
325,1,1.0
2,51,935.6100000000001
75,10,703.36
18,19,372.71999999999997
310,3,65.4
36,37,288.94
204,1,19.9
232,22,406.91
214,4,183.0
22,17,603.4599999999999
33,42,1973.3700000000003
1,4,121.98
7,78,1413.6600000000003
52,27,547.1800000000001
287,1,23.4
3,82,1410.8299999999995
109,2,30.6
7,28,420.31000000000006
291,4,62.7
4,3,47.4
51,55,1221.0600000000004
59,17,377.25000000000006
71,16,385.2
311,4,112.7
25,17,406.2200000000001
10,5,129.1
315,25,623.4200000000001
129,60,1111.8100000000004
81,12,232.25000000000006
21,35,653.2099999999999
4,30,710.4499999999999
184,20,322.73999999999995
28,9,126.44000000000001
337,2,87.8
15,26,706.5800000000002
79,14,244.61
21,27,155.54999999999998
72,23,571.75
63,5,228.84
19,54,963.0100000000001
35,34,790.71
45,23,594.3
119,13,255.56000000000003
303,1,15.0
323,2,21.599999999999998
49,1,83.0
148,16,379.9499999999999
22,35,822.53
49,22,555.7600000000001
32,34,874.1500000000001
78,35,3894.1399999999994
301,6,92.85
74,19,369.59000000000003
236,12,212.25000000000006
217,2,49.050000000000004
24,248,38518.779999999984
3,63,1171.86
112,10,208.69
63,5,102.96999999999998
15,18,263.84999999999997
95,9,155.20000000000002
1,35,575.9
162,5,133.8
78,7,112.19999999999999
194,7,125.68
21,10,261.44
25,78,2666.7200000000003
9,28,992.5600000000001
43,4,78.75999999999999
60,71,1992.3200000000002
42,38,1273.9699999999998
1,136,3965.8699999999994
84,19,267.3
79,7,1372.94
99,4,141.48
1,73,1749.3800000000008
14,34,998.56
366,4,61.2
3,4,54.96
21,57,1354.03
22,1,17.4
57,25,405.82
243,8,131.17
44,5,61.03
22,73,1443.8800000000003
156,3,111.3
10,102,2469.9700000000003
16,9,167.82
134,15,263.7900000000001
53,14,152.19999999999996
73,26,678.4599999999999
44,53,1275.87
86,22,394.75
71,10,294.59999999999997
154,10,220.58000000000004
2,16,215.97000000000003
46,21,332.55
10,5,220.55
7,15,229.39
143,14,308.20000000000005
2,138,5510.09
31,118,1862.119999999999
29,61,1069.4200000000003
17,146,2201.0100000000007
53,9,221.2
1,84,2550.21
22,83,4217.08
3,10,180.68
11,6,124.39999999999999
28,52,1022.2999999999998
22,69,1758.5800000000004
17,26,641.9300000000001
35,92,1026.98
9,13,278.81
336,4,78.9
5,66,1393.92
38,9,188.45000000000002
63,5,75.60000000000001
165,9,178.01
15,23,330.6000000000001
81,4,345.0
21,8,152.4
23,21,1784.3799999999999
315,50,678.4200000000002
95,40,815.6200000000003
337,1,1.0
18,6,1.0
301,1,1.0
232,7,24.150000000000002
134,7,538.6700000000001
26,23,112.97
284,1,8.5
142,11,278.9
66,12,54.61
112,6,75.14
267,17,295.99999999999994
353,7,226.54999999999998
77,7,369.68
28,91,823.0899999999997
1,51,765.8400000000005
63,7,110.2
79,44,780.6600000000002
142,10,139.19
39,3,39.7
1,33,475.61
9,55,1671.9499999999996
1,31,539.1500000000001
294,3,76.60000000000001
9,23,455.8
59,25,651.5199999999999
14,6,59.81
30,5,91.35
130,14,206.75
91,8,162.15
7,78,1.0
29,7,137.78
22,93,2050.7500000000005
19,145,4097.1399999999985
29,15,315.34999999999997
